file_name,text,token_size,embed
mind.pdf,"twelfth edition: 1994 world wide web (www) edition : 1998 www site: http://www.rsl.ukans.edu/~pkanagar/divine/ this www reprint is for free distribution © the divine life trust society isbn 81-7052-006-1 published by the divine life society p.o shivanandanagar —249 192 distt tehri-garhwal, uttar pradesh, himalayas, india.om 1st july 1946 beloved dheerender!fear not the mind is no doubt extremely turbulent through repeated attempts you can perfectly subdue it. you are the master of the mind by abhyasa and vairagya assert your mastery feel the power, bliss and splendour that result fromperfect self-conquest. curb the mind ruthlessly annihilate desire when desire dies mind is your slave become desireless and be victorious. may you rest in your pristine freedom! sivananda iiiprayer o thou invisible one! o adorable one! o supreme! thou permeatest and penetratest this vast universe from the unlimited space down to the tiny blade of grass at my feet thou art the basisfor all these names and forms",251,
mind.pdf,"thou art the apple of my eye, the prema of my heart, the very life ofmy life, the very soul of my soul, the illuminator of my intellect and senses, the sweet anahatamusic of my heart, and the substance of my physical, mental and causal frames. i recognise thee alone as the mighty ruler of this universe and the inner controller (antaryamin) of my three bodies i prostrate again and again before thee, my lord! thou art mysole refuge! i trust thee alone, o ocean of mercy and love! elevate, enlighten, guide and protectme remove obstacles from my spiritual path lift the veil of ignorance, o thou jagadguru! icannot bear any longer even for a second, the miseries of this body, this life and this samsara givedarsana quickly o prabho! i am pining i am melting listen, listen to my fervent, antarika prayer.do not be cruel, my lord thou art dinabandhu thou art adhama-uddharaka thou art patitapavana (purifier of the fallen). om santih santih santih publishers note",249,
mind.pdf,"to everyone striving for success in life, the invariable stumbling block proves to be the turbulent vagaries of the mind an undisciplined mind makes a man slave and wrecks his life.controlling and subduing it is the most vexing of problems to the earnest seeker of happiness thevital importance of the subject, therefore, prompted h.h sri swami sivanandaji maharaj to writethis comprehensive work m inditsmysteries and c ontrol . it is meant to serve as a valuable guide to all aspirants and it is also of immense help to anyone in any walk of life being theoutcome of personal experience of the revered author and written with a practical end in view,m inditsmysteries and c ontrol  is a treasure worthy to be possessed and studied constantly. the divine life society ivpreface happiness has for ever been the prime aim of every human being all activities of man are directed towards acquiring the maximum happiness in life but, through the wrong deluded notionthat objects will give happiness, man searches for it outside the result is that in spite of all hislifelong efforts, he gets disappointment only",249,
mind.pdf,"vexation and misery alone are to be seen everywhere.the real lasting happiness lies within man such happiness or ananda is the inner self, theantaratman the very nature of atman is pure joy this is never perceived because the mind iscompletely externalised as long as the mind is restlessly wandering about amidst objects, everfluctuating, excited, agitated and uncontrolled, this true joy cannot be realised and enjoyed tocontrol the restless mind and perfectly still all thoughts and cravings is the greatest problem of man.if he has subjugated the mind, he is the emperor of emperors. for gaining mastery over the mind, you have to know what it is, how it works, how it deceives you at every turn and by what methods it can be subdued in this book, the subject has beendealt with; and the nature of the mind, the various forms that it assumes, the secret of its innerworkings and the way to control it are fully and clearly explained the previous editions wereeagerly read and appreciated by thousands of aspirants who wrote to say how immensely they werehelped by the instructions the lessons and instructions are eminently practical and many helpfulideas and suggestions got during my meditations have been recorded and put down here",256,
mind.pdf,"veryuseful hints on concentration and meditation will be found in the book which, if faithfully followed,will bring success in a short time without fail. i pray to every aspirant to study constantly the valuable instructions with care and follow the practical hints given in his sadhana and daily life it will doubtless enable you to gain control overyour passions and cravings and to get established in yoga the bhakta, the student of vedanta, theraja yogin, the karma yoginall will find this book an indispensable guide the later stages ofyoga sadhana are common in all the four paths and dharana and dhyana are quite impossiblewithout first subduing the mind all sadhanas are, therefore, aimed at obtaining mastery over themind hence it is that i have tried to present the ways and means of achieving this through simple,yet well-tried and effective methods my efforts would be amply fulfilled if even a single earnestaspirant is helped on the spiritual path and attains the goal. may the lord, the antaryamin, the supreme indweller inspire all to attempt mind-control",234,
mind.pdf,"and yoga! may he bestow success on the sincere aspirants that struggle to master the unruly mind!may you reach the goal of life, immortality, supreme knowledge and bliss! sivananda vchapter 1 what is mind? he who knows the receptacle (ayatana) verily becomes the receptacle of his people mind is verily the receptacle (of all our knowledge). (chhandogya upanishad, v-i-5) that which separates you from god is mind the wall that stands between you and god is mind pull the wall down through om-chintana or devotion and you will come face to face withgod. the minda mystery the vast majority of men know not the existence of the mind and its operations even the so-called educated persons know very little of the mind subjectively or of its nature and operations.they have only heard of a mind. western psychologists know something.western doctors know only a fragment of mind the afferent nerves bring the sensations from the periphery or extremities of the spinal cord the sensations then pass to the medulla oblongata at the back of the head, where the fibres decussate from there, they pass on to the",252,
mind.pdf,"superior frontal gyrus or superior frontal convolution of the brain in the forehead, the supposed seatof the intellect or mind the mind feels the sensations and sends motor impulses through theafferent nerves to the extremitieshands, legs, etc it is a brain-function only for them mind,according to them, is only an excretion of the brain, like bile from liver the doctors are still gropingin utter darkness their minds need drastic flushing for the entry of hindu philosophical ideas. it is only the yogins and those who practise meditation and introspection that know the existence of the mind, its nature, ways and subtle workings they know also the various methods ofsubduing the mind. mind is one of the ashta-prakritis earth, water, fire, air, ether, mind, reason and egoismthese constitute the eightfold division of my nature (gita, vii-4). mind is nothing but atma-sakti it is brain that wants rest (sleep), but not the mind a yogi who has controlled the mind never sleeps he gets pure rest from meditation itself. how the mind originated mind is atma-sakti",250,
mind.pdf,"it is through mind that brahman manifests himself as the differentiated universe with heterogeneous objects brahma thought, there, indeed, are theworlds; i shall create the protectors of the worlds. he gathered the purusha (hiranyagarbha) fromout of the waters only and fashioned him he heated him by the heat of meditation when he wasthus heated, his heart burst out from the heart, the mind came; from the mind the moon, the 1mindits mysteries and controlpresiding deity of the mind (heart is the seat of the mind; so, the mind came out when the heart burst out in samadhi, the mind goes to its original seat, i.e., heart in sleep also, it rests in the heartwith a veil of ignorance between it and brahman) (aitareya upanishad, 1-3-4). cosmic mind and individual mind hiranyagarbha, otherwise known as karya brahman and sambhuti, is cosmic mind he is the sum total (samashti) of all the minds",230,
mind.pdf,"the individual mind is connected with the cosmic mind.cosmic mind, hiranyagarbha, superconscious mind, infinite mind, universal mind are synonymousterms different authors have used different terms do not be puzzled do not be confused it issabda-bheda only. hiranyagarbha is cosmic prana also he is the sutratman (thread-like self) he represents the electric, cosmic, power-house the different jivas represent the different, small bulbs.electricity from the power-house flows through the insulated copper wires into the bulbs similarly,the power from hiranyagarbha flows into the jivas. the mind, being very subtle, is in close apposition or contact with other minds, though the human skull intervenes between them as mind evolves, you come into conscious relation with themental currents, with the minds of others near and distant, living and dead",192,
mind.pdf,"the individual mindof a, although separated from the mind-substance used by other individuals, b, c, d, e, x, y, etc.,by a thin wall of very finest kind of matter, is really in touch with the other apparently separatedminds and with the universal mind of which it forms a part. if a is a friend of b, as mind is connected with bs mind the minds of friends, relatives, brothers of a are attached to as mind several minds are similarly linked to bs mind also theminds of those who are attached to as mind are, therefore, connected, in turn, with the minds ofthose who are hanging on bs mind in this manner, one mind is in touch with all minds in the wholeworld this is the vibhu theory of mind of raja yoga. mind in sankhya philosophy in sankhya philosophy, mahat is the term used to denote cosmic mind or universal mind. it is the first principle that is derived from avyakta it is the first principle that is manifestedout of the unmanifested avyakta",249,
